disease,symptoms,cures,doctor,risk_level,description
flu,"['muscle aches', 'cough', 'fever', 'sore throat', 'fatigue', 'headache', 'runny or stuffy nose']","over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%,
bronchitis,"['haemoptysis', 'stridor', 'cough', 'labored breathing', 'chest pain', 'snuffle', 'night sweat', 'wheezing', 'mucus production', 'hepatosplenomegaly', 'productive cough', 'dyspnea', 'decreased body weight', 'throat sore', 'chest tightness', 'fever', 'shortness of breath', 'chill', 'hacking cough']","antibiotics,over-the-counter medications,rest,fluids","family doctor,pulmonologist",low (0.5%),
pneumonia,"['malaise', 'haemoptysis', 'yellow sputum', 'cough', 'fast heart rate', 'high fever', 'chest pain', 'breath sounds decreased', 'rhonchus', 'decreased translucency', 'fatigue', 'night sweat', 'wheezing', 'pleuritic pain', 'productive cough', 'rale', 'rusty sputum', 'tachypnea', 'fever', 'chills', 'shortness of breath', 'chill', 'breathlessness', 'sweating', 'green sputum', 'phlegm', 'non-productive cough', 'distress respiratory']",antibiotics,"family doctor,pulmonologist",moderate (1%),"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
heart attack,"['vomiting', 'lightheadedness', 'chest pain', 'shortness of breath', 'breathlessness', 'sweating', 'nausea']",emergency medical services,cardiologist,high (20%),"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
stroke,"['difficulty speaking', 'trouble seeing in one eye', 'sudden weakness', 'severe headache', 'numbness on one side of the body', 'confusion']","treatment for the underlying cause,such as clot-busting medication,surgery","neurologist,neurosurgeon",high (20%),
cancer,"['changes in bowel', 'indigestion', 'unexplained bleeding or discharge', 'unexplained weight loss', 'persistent cough', 'fatigue', 'bladder habits', 'lump']","surgery,chemotherapy,radiation therapy",oncologist,varies depending on the type of cancer,
diabetes,"['orthopnea', 'excessive hunger', 'vomiting', 'labored breathing', 'restlessness', 'increased thirst', 'frequent urination', 'unexplained weight loss', 'lethargy', 'blurred and distorted vision', 'pain chest', 'sweating increased', 'increased appetite', 'fatigue', 'unresponsiveness', 'cuts that are slow to heal', 'nausea', 'rale', 'polyuria', 'blurred vision', 'weight loss', 'mental status changes', 'obesity', 'polydypsia', 'asthenia', 'shortness of breath', 'vertigo', 'irregular sugar level']","diet,exercise,medication",endocrinologist,high (25%),"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
alzheimer's disease,"['wheelchair bound', 'tremor', 'cough', 'groggy', 'muscle twitch', 'hyperkalemia', 'consciousness clear', 'rhonchus', 'drool', 'agitation', 'changes in personality or behavior', 'frail', 'bedridden', 'nightmare', 'facial paresis', 'fever', 'difficulty thinking', 'memory loss', 'tremor resting', 'confusion', 'pin-point pupils']","there is no cure for alzheimer's disease,but there are treatments that can help manage the symptoms ",neurologist,high (70%),
arthritis,"['atypia', 'distended abdomen', 'sleeplessness', 'swelling', 'syncope', 'movement stiffness', 'stiff neck', 'inflammation in the joints', 'pain', 'asthenia', 'stiffness', 'general unsteadiness', 'shortness of breath', 'hemodynamically stable', 'painful walking', 'swelling joints', 'muscle weakness']","medication,physical therapy,lifestyle changes",rheumatologist,varies depending on the type of arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
adenovirus,"['cough', 'rash', 'pink eye', 'fever', 'conjunctivitis', 'sore throat']","antibiotics,over-the-counter medications,rest,fluids","family doctor,urgent care",low (0.1%),
